Key,Effects
RoadMinus1+TeamShield1,road.widthDelta=-1;team.shieldCharges=1
RoadPlus2+EnemyCount125,road.widthDelta=2;spawn.countMultiplier=1.25
RangeMinus1+RoadMinus1,enemy.rangedMaxRangeDelta=-1;road.widthDelta=-1
RangePlus1+RoadPlus2,enemy.rangedMaxRangeDelta=1;road.widthDelta=2
Winding+ResponseEvery2,road.turnChance*=1.5;enemy.responseInterval=2
Straight+ExtraEvery5,road.turnChance*=0.2;enemy.extraActivationEvery=5
OnlyKnights+KnightMove2,spawn.allowedTypes=Knight;enemy.knight.moveInterval=2
OnlyBishops+BishopRange3,spawn.allowedTypes=Bishop;enemy.bishop.maxRange=3
OnlyRooks+RookRange3,spawn.allowedTypes=Rook;enemy.rook.maxRange=3
RoadPlus3+RangePlus1,road.widthDelta=3;enemy.rangedMaxRangeDelta=1
PersonalDash1+NoRepeat,guard.personalDashCharges=1;turn.blockSameGuard=true
Blocked2+Safe2,tiles.blockedCount=2;tiles.safeTileCount=2
WideStraight+RangePlus1,road.widthDelta=2;road.turnChance*=0.2;enemy.rangedMaxRangeDelta=1
CenterBreak2+EnemyCount075,road.centerJumpCount=2;spawn.countMultiplier=0.75
ChaseNearest+MoveEvery2,enemy.ai=ChaseNearest;enemy.responseInterval=2
LastGuardDouble+RangePlus1,turn.lastGuardMoves=2;enemy.rangedMaxRangeDelta=1
Checkpoint3+NoRetreat,checkpoint.validWidth=3;guard.allowBackward=false
