Key,Value
board.columns,17
board.rows,14
board.width,6
board.minWidth,4
board.maxWidth,11
road.turnChance,0.55
road.curvePersistence,2
road.centerAttraction,0.15
road.branchChance,0.22
campaign.levels,20
enemy.rook.maxRange,-1
enemy.bishop.maxRange,-1
enemy.queen.maxRange,5
spawn.safeStartRows,4
spawn.safeCheckpointRows,0
spawn.pawnWeight,7
spawn.knightWeight,2
spawn.bishopWeight,2
spawn.rookWeight,2
spawn.queenWeight,1
endless.enemyIncrement,0.5
generation.attempts,100
ai.captureWeight,100
ai.exposurePenalty,42
ai.progressWeight,5
ai.noise,2
ai.threatWeight,12
animation.enemyDelay,0.35
animation.loadDuration,0.65
animation.moveDuration,0.15
animation.shakeStrength,6
audio.defaultVolume,0.35
ui.white,EEEEEE
ui.cyan,4BFCF9
ui.magenta,DA02F8
laws.cooldown,5
laws.count,120
boss.size,6
boss.promotions,Rook|Bishop|Knight|King
seed.fixed,0
ui.menu.fontSize,30
ui.popup.titleMultiplier,3
ui.popup.closeOffsetX,2
ui.popup.endlessHoverDelay,0.2
ui.cursor.size,7
ui.popup.closeScale,1.2
ui.version.offsetY,3
animation.screenTransitionDuration,0.84
ai.advancedTargetWeight,28
ai.advancedThreatWeight,10
ai.mobilityWeight,4
ai.forkWeight,20
ai.supportWeight,20
ai.goalBlockWeight,7
