ID,LAW,Name,Category,Effect,Min Level,Max Level,Range,Impact,Implementation
1,LAW #001,NESSUNA RITIRATA,Guard movement,Le guardie non possono muoversi verso il basso.,2,16,2-16,Malus,guard.allowBackward=false
2,LAW #002,GIURAMENTO ORTOGONALE,Guard movement,Le guardie possono muoversi solo in verticale o orizzontale.,2,16,2-16,Misto,guard.allowDiagonal=false
3,LAW #003,GIURAMENTO DIAGONALE,Guard movement,Le guardie possono muoversi solo in diagonale.,2,16,2-16,Misto,guard.allowOrthogonal=false
4,LAW #004,CORONA IN AVANTI,Guard movement,Sono consentite solo le tre direzioni che contengono movimento in avanti.,2,16,2-16,Malus,guard.directionMask=Forward3
5,LAW #005,RE LATERALE,Guard movement,Le guardie possono muoversi solo lateralmente o in diagonale laterale; niente avanti/dietro dritto.,3,17,3-17,Misto,guard.directionMask=Side6
6,LAW #006,PASSO LUNGO,Guard movement,Una volta per guardia nel livello è consentito un movimento ortogonale di 2 caselle libere.,2,16,2-16,Bonus,guard.longOrthogonalCharges=1
7,LAW #007,DIAGONALE LUNGA,Guard movement,Una volta per guardia nel livello è consentito un movimento diagonale di 2 caselle libere.,3,17,3-17,Bonus,guard.longDiagonalCharges=1
8,LAW #008,PRIMO PASSO DOPPIO,Guard movement,Il primo movimento di ogni guardia può essere di 2 caselle nella stessa direzione se il percorso è libero.,2,16,2-16,Bonus,guard.firstMoveRange=2
9,LAW #009,PASSO ALTERNATO,Guard movement,Ogni guardia deve alternare movimento ortogonale e diagonale.,3,17,3-17,Misto,guard.alternateAxis=true
10,LAW #010,DIREZIONE NUOVA,Guard movement,Una guardia non può ripetere la stessa direzione del suo movimento precedente.,4,18,4-18,Malus,guard.blockRepeatDirection=true
11,LAW #011,UN VENTO VIETATO,Guard movement,Una delle 8 direzioni viene estratta a caso e resta vietata per tutto il livello.,2,16,2-16,Misto,guard.randomBlockedDirection=1
12,LAW #012,TWO FORBIDDEN WINDS,Guard movement,Due direzioni opposte vengono vietate per tutto il livello.,5,12,5-12,Malus,guard.randomBlockedOppositePair=1
13,LAW #013,BALZO REALE,Guard movement,Una volta nel livello una guardia può muoversi di 2 caselle in qualsiasi direzione se libera.,4,18,4-18,Bonus,guard.teamDashCharges=1
14,LAW #014,FOUR DASHES,Guard movement,Ogni guardia dispone di un Royal Dash personale.,7,14,7-14,Bonus,guard.personalDashCharges=1
15,LAW #015,STIVALI PESANTI,Guard movement,"Dopo un movimento diagonale, quella guardia non può essere scelta nel turno successivo.",4,18,4-18,Malus,guard.cooldownAfterDiagonal=1
16,LAW #016,PASSO LEGGERO,Guard movement,La prima mossa ortogonale di ogni guardia non provoca risposta nemica.,3,17,3-17,Bonus,guard.firstOrthogonalFree=true
17,LAW #017,LONTANO DAL BORDO,Guard movement,Le guardie non possono terminare il movimento su una casella di bordo della strada.,4,18,4-18,Malus,guard.blockRoadEdge=true
18,LAW #018,EDGE RUNNERS,Guard movement,Le guardie sulle caselle di bordo possono fare un passo di 2 caselle verso l'interno una volta per livello.,6,14,6-14,Bonus,guard.edgeDashCharges=1
19,LAW #019,SALTA LA FILA,Guard movement,Una volta per guardia è possibile saltare un pezzo adiacente e atterrare nella casella immediatamente oltre.,6,20,6-20,Bonus,guard.jumpAdjacentCharges=1
20,LAW #020,RACCOMANDAZIONE REALE,Turn flow,"Quando una guardia raggiunge il checkpoint reticolato, il giocatore può continuare a giocare per cinque turni consecutivi.",3,17,3-17,Bonus,checkpoint.freePlayerMovesOnCross=5
21,LAW #021,DISTANZA DAL NEMICO,Guard movement,Una mossa senza cattura non può terminare adiacente a un nemico.,2,8,2-8,Malus,guard.quietMoveAvoidEnemyAdjacency=true
22,LAW #022,DOPPIO SALTO FINALE,Guard movement,"Dalla penultima riga precedente al checkpoint, una guardia può andare al checkpoint con una mossa sola se ha strada libera.",5,19,5-19,Bonus,guard.finalLeap=true
23,LAW #023,COLONNA LASCIATA,Guard movement,"Dopo un cambio di colonna, una guardia non può tornare subito alla colonna precedente.",5,13,5-13,Malus,guard.blockReturnToPreviousColumn=true
24,LAW #024,SHORT REIGN,Guard movement,"Dopo 3 mosse della stessa guardia, deve essere scelta un'altra guardia prima di riutilizzarla.",3,10,3-10,Malus,guard.maxConsecutiveUses=3
25,LAW #025,FREE KING,Guard movement,Una volta per livello puoi muovere una guardia di 2 caselle in qualunque direzione ignorando il primo ostacolo non nemico.,10,20,10-20,Bonus,guard.freeKingCharge=1
26,LAW #026,CAMBIO DI GUARDIA,Turn flow,Non puoi scegliere la stessa guardia in due turni consecutivi.,2,16,2-16,Malus,turn.blockSameGuard=true
27,LAW #027,GIRO COMPLETO,Turn flow,Ogni guardia attiva deve muoversi una volta prima che una possa muovere di nuovo.,2,16,2-16,Misto,turn.selectionMode=RoundRobin
28,LAW #028,REVERSE ORDER,Turn flow,Le guardie vengono selezionate in ordine fisso inverso.,3,8,3-8,Misto,turn.selectionMode=ReverseOrder
29,LAW #029,CHIAMATA CASUALE,Turn flow,"A ogni turno il gioco indica casualmente quale guardia deve muovere, se ha una mossa legale.",4,18,4-18,Malus,turn.selectionMode=RandomLegalGuard
30,LAW #030,DOPPIO COMANDO,Turn flow,Una volta nel livello puoi effettuare due mosse consecutive prima della risposta nemica.,3,17,3-17,Bonus,turn.doubleMoveCharges=1
31,LAW #031,THREE COMMANDS,Turn flow,Ogni 8 turni ottieni due mosse consecutive.,8,16,8-16,Bonus,turn.doubleMoveEvery=8
32,LAW #032,QUINTO SILENZIOSO,Turn flow,Ogni quinta mossa delle guardie salta la risposta nemica.,4,18,4-18,Bonus,enemy.skipResponseEvery=5
33,LAW #033,QUINTO RUMOROSO,Turn flow,Ogni quinta mossa delle guardie concede due mosse nemiche consecutive.,8,20,8-20,Malus,enemy.doubleResponseEvery=5
34,LAW #034,APERTURA CALMA,Turn flow,Per le prime tre risposte i nemici non possono muovere né catturare.,2,16,2-16,Bonus,enemy.moveDelayTurns=3
