Level,Width,EnemyCount,AllowedTypes
1,6,2,Pawn
2,6,2,Pawn|Knight
3,6,3,Pawn|Knight
4,6,3,Pawn|Knight
5,6,4,Pawn|Knight|Bishop
6,6,4,Pawn|Knight|Bishop
7,6,5,Pawn|Knight|Bishop
8,6,5,Pawn|Knight|Bishop|Rook
9,5,6,Pawn|Knight|Bishop|Rook
10,5,6,Pawn|Knight|Bishop|Rook
11,5,7,Pawn|Knight|Bishop|Rook
12,5,7,Pawn|Knight|Bishop|Rook
13,5,8,Pawn|Knight|Bishop|Rook
14,5,8,Pawn|Knight|Bishop|Rook
15,5,9,Pawn|Knight|Bishop|Rook
16,5,9,Pawn|Knight|Bishop|Rook
17,5,10,Pawn|Knight|Bishop|Rook
18,5,10,Pawn|Knight|Bishop|Rook
19,5,11,Pawn|Knight|Bishop|Rook
20,5,11,Pawn|Knight|Bishop|Rook
21,5,12,Pawn|Knight|Bishop|Rook|Queen
