Key,Text
game.title,KING 4 A DAY
menu.new,New Game
menu.options,Options
menu.extras,Extras
menu.credits,Credits
menu.exit,Exit
mode.title,Choose Your Journey
mode.campaign,Campaign Mode
mode.endless,Endless Mode
back,Back
resume,Resume
menu,Main Menu
retry,New Game
next,Continue
confirm,Confirm
cancel,Cancel
yes,Yes
no,No
on,ON
off,OFF
level,Level
turn,Turn
white,WHITE
enemy,OPPONENT
guards,GUARDS
player,Player
computer,Computer
royal.guards,Guards
law,LAW
choose.law,CHOOSE THE LAW IN EFFECT
law.subtitle,The following law is in effect for this level:
law.000.name,THE DEPARTURE!
law.000.description,No special rules. Standard chess movement rules apply.
book,LAW BOOK
challenges,CHALLENGES
hidden,HIDDEN
challenges.empty,Challenges will be defined in a future update.
gameover,GAME OVER
stalemate,STALEMATE
victory,THE KING IS FREE
victory.text,The remaining Guards have returned the crown to the kingdom.
level.done,CROSSING COMPLETE
pause,PAUSE
promote,CHOOSE PROMOTION
boss,THE QUEEN'S THRONE
boss.board,BOSS 6 x 6
boss.text,Not a King. A Queen. Your sovereign awaits you.
promote.text,The Guard has reached the final row. Choose its new piece.
intro,"THE KING HAS BEEN KIDNAPPED.
THE WHITE KINGDOM IS IN CHECK.
FOUR PAWNS REMAIN TO SAVE HIM.
ONE MOVE AT A TIME."
cutscene.intro.kingMissing,"The King has been kidnapped!
The white kingdom is in check!"
cutscene.intro.departure,"Four pawns remain to save him...
One move at a time!"
cutscene.midway,"We're halfway there...
We're coming!"
cutscene.finalDuel,"Your kingdom is finished!
Long live the King!"
start,ENTER THE KINGDOM
options.threats,SHOW THREATS
options.music,Music
options.musicVolume,Music volume
options.sound,Sound effects
options.shake,SCREEN SHAKE
options.fullscreen,FULL SCREEN
options.volume,VOLUME
options.language,LANGUAGE: ENGLISH
help,HOW TO PLAY
help.text,Drag a Guard onto a nearby square to move or capture. Every move grants the enemy one move. Bring the Guards to the checkered row at the top. Guards that arrive wait for the others. Captured Guards are lost for this run. The cyan border follows the mouse. The laws change at every level.
piece.Pawn,PAWN
piece.Rook,ROOK
piece.Bishop,BISHOP
piece.Knight,KNIGHT
piece.Queen,QUEEN
piece.King,KING
wait,WAIT
double,DOUBLE COMMAND
freeze,ROYAL PAUSE
ability.ready,READY
load.error,DATA ERROR
quit.run,ABANDON THE GAME?
quit.text,The current game will not be saved.
moves,MOVES
captures,CAPTURES
distance,ROWS TO EXIT
enemies,ENEMIES
record.session,SESSION BEST
blocked,NO MOVES
seed,SEED
caged,THE IMPRISONED KING
bonus,BONUS
malus,PENALTY
mixed,MIXED
choose.ability,ACTIVE ABILITY
rules.changed,The law has changed the kingdom.
saved,GUARDS SAFE
options.note,More languages will be added later.
law.001.name,NO RETREAT
law.001.description,Guards cannot move downward.
law.002.name,ORTHOGONAL OATH
law.002.description,Guards can move only vertically or horizontally.
law.003.name,DIAGONAL OATH
law.003.description,Guards can move only diagonally.
law.004.name,FORWARD CROWN
law.004.description,Only the three directions that include forward movement are allowed.
law.005.name,SIDEWAYS KING
law.005.description,Guards can move only sideways or diagonally sideways; no straight forward or backward movement.
law.006.name,LONG STRIDE
law.006.description,"Once per guard per level, a 2-square orthogonal move is allowed if both squares are clear."
law.007.name,LONG DIAGONAL
law.007.description,"Once per guard per level, a 2-square diagonal move is allowed if both squares are clear."
law.008.name,FIRST STEP TWO
law.008.description,Each guard's first move can cover 2 squares in the same direction if the path is clear.
law.009.name,ALTERNATING STEP
law.009.description,Each guard must alternate between orthogonal and diagonal movement.
law.010.name,NO SAME DIRECTION
law.010.description,A guard cannot repeat the same direction as its previous move.
law.011.name,ONE FORBIDDEN WIND
law.011.description,One of the 8 directions is chosen at random and remains forbidden for the entire level.
law.012.name,TWO FORBIDDEN WINDS
law.012.description,Two opposite directions are forbidden for the entire level.
law.013.name,ROYAL DASH
law.013.description,"Once per level, one guard can move 2 squares in any direction if the path is clear."
law.014.name,FOUR DASHES
law.014.description,Each guard has its own Royal Dash.
law.015.name,HEAVY BOOTS
law.015.description,"After a diagonal move, that guard cannot be selected on the next turn."
law.016.name,LIGHT STEP
law.016.description,Each guard's first orthogonal move causes no enemy response.
law.017.name,NO EDGE STEP
law.017.description,Guards cannot end their move on a road-edge square.
law.018.name,EDGE RUNNERS
law.018.description,Guards on road-edge squares can take a 2-square step toward the inside once per level.
