Key,Text
game.title,KING 4 A DAY
menu.new,Nuova partita
menu.options,Opzioni
menu.extras,Extra
menu.credits,Credits
menu.exit,Esci
mode.title,Scegli il viaggio
mode.campaign,Modalità Campagna
mode.endless,Modalità Infinita
back,Indietro
resume,Riprendi
menu,Menu Principale
retry,Nuova partita
next,Prosegui
confirm,Conferma
cancel,Annulla
yes,Sì
no,No
on,Attivo
off,Disattivo
level,Livello
turn,Turno
white,BIANCO
enemy,AVVERSARIO
guards,GUARDIE
player,Giocatore
computer,Computer
royal.guards,Guardie
law,LEGGE
choose.law,SCEGLI LA LEGGE IN VIGORE
law.subtitle,In questo livello è valida la seguente legge:
law.000.name,La partenza!
law.000.description,Nessuna regola speciale. Valgono gli spostamenti classici degli scacchi.
book,LIBRO DELLE LEGGI
challenges,SFIDE
hidden,NASCOSTA
challenges.empty,Le sfide saranno definite in un aggiornamento futuro.
gameover,GAME OVER
stalemate,STALLO
victory,IL RE È LIBERO
victory.text,Le ultime Guardie hanno restituito la corona al regno.
level.done,PASSAGGIO COMPLETATO
pause,PAUSA
promote,SCEGLI LA PROMOZIONE
boss,IL TRONO DELLA REGINA
boss.board,BOSS 6 x 6
boss.text,Non un Re. Una Regina. Il tuo sovrano ti attende.
promote.text,La Guardia ha raggiunto l’ultima riga. Scegli il suo nuovo pezzo.
intro,"IL RE È STATO RAPITO.
IL REGNO BIANCO È SOTTO SCACCO.
RESTANO QUATTRO PEDONI PER SALVARLO.
UNA MOSSA ALLA VOLTA."
cutscene.intro.kingMissing,Il Re è stato rapito!\nIl regno bianco è sotto scacco!
cutscene.intro.departure,Restano quattro pedoni per salvarlo...\nUna mossa alla volta!
cutscene.midway,Siamo a metà strada...\nStiamo arrivando!
cutscene.finalDuel,Il tuo regno è finito!\nViva il re!
start,ENTRA NEL REGNO
options.threats,MOSTRA MINACCE
options.music,Musica
options.sound,Effetti sonori
options.shake,SCOSSA DELLO SCHERMO
options.fullscreen,SCHERMO INTERO
options.volume,VOLUME
options.language,LINGUA: ITALIANO
help,COME SI GIOCA
